run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,response,question_order,stimulus,slider_start,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
7,1,"[{""page_index"":0,""viewing_time"":1249286},{""page_index"":1,""viewing_time"":19525},{""page_index"":2,""viewing_time"":3660}]",1272472,instructions,0,1272622,0.0-0.0,"""","""","""","""","2021-11-09 14:11:41",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
7,1,"[{""page_index"":0,""viewing_time"":21051}]",21051,instructions,1,1293680,0.0-1.0,"""","""","""","""","2021-11-09 14:11:41",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
7,1,"""",90279,survey-likert,2,1383971,0.0-2.0,"{""ap_produce_interval"":6,""ap_ref_tonal"":4,""rp_remember_group"":5,""ap_perceive_same"":6,""ap_produce_tonality"":4,""ap_id_interval"":4,""rp_name_abref"":4,""rp_lose"":3,""rp_ref_tonal"":5,""ap_name_abref"":3,""ap_name_relation"":4,""ap_lose"":4,""rp_id_interval"":3,""rp_id_440"":4,""rp_produce_interval"":4,""ap_to_rp"":4,""rp_name_relation"":4,""rp_produce_440"":4,""rp_produce_tonality"":4,""rp_to_ap"":3,""ap_id_440"":7,""ap_produce_abref"":7,""rp_perceive_same"":7,""ap_remember_group"":7,""ap_produce_440"":7,""rp_produce_abref"":7}","[18,2,11,20,16,17,14,9,12,0,24,19,27,3,7,4,21,5,8,15,1,13,22,25,6,26,23,10]","""","""","2021-11-09 14:11:41",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
7,1,"""",26798,survey-text,3,1410783,0.0-3.0,"{""Q0"":""test""}","""","""","""","2021-11-09 14:11:41",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
7,1,"""",6034,survey-text,4,1416822,0.0-4.0,"{""Q0"":""test""}","""","""","""","2021-11-09 14:11:41",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
7,1,"[{""page_index"":0,""viewing_time"":21252}]",21252,instructions,5,1438079,0.0-5.0,"""","""","""","""","2021-11-09 14:11:41",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
7,1,"""",114113,survey-likert,6,1552201,0.0-6.0,"{""re_people_al"":3,""ap_trained_ap"":7,""rp_normal"":7,""ap_better_others"":7,""rp_override"":7,""rp_tonedeaf"":7,""rp_better_others"":7,""rp_impaired"":7,""rp_trained_ap"":7,""ap_impaired"":7,""ap_people_all"":7,""ap_override"":7,""ap_tonedeaf"":7,""ap_normal"":7}","[0,10,5,13,2,4,6,1,3,8,7,9,11,12]","""","""","2021-11-09 14:11:41",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
7,1,"[{""page_index"":0,""viewing_time"":14701}]",14701,instructions,7,1566905,0.0-7.0,"""","""","""","""","2021-11-09 14:11:41",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
7,1,"[{""page_index"":0,""viewing_time"":3919}]",3919,instructions,8,1570826,0.0-8.0,"""","""","""","""","2021-11-09 14:11:41",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
7,1,"[{""page_index"":0,""viewing_time"":47763}]",47763,instructions,9,1618593,0.0-9.0,"""","""","""","""","2021-11-09 14:11:41",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
