run_id,t_id,response
1037,perc_class_time_ap,0
1174,perc_class_time_ap,0
122,perc_class_time_ap,3
152,perc_class_time_ap,0
166,perc_class_time_ap,8
271,perc_class_time_ap,0
324,perc_class_time_ap,21
334,perc_class_time_ap,1
472,perc_class_time_ap,0
436,perc_class_time_ap,2
532,perc_class_time_ap,0
538,perc_class_time_ap,0
553,perc_class_time_ap,7
580,perc_class_time_ap,0
714,perc_class_time_ap,0
772,perc_class_time_ap,100
795,perc_class_time_ap,0
915,perc_class_time_ap,0
961,perc_class_time_ap,0
1037,perc_class_time_rp,30
1174,perc_class_time_rp,49
122,perc_class_time_rp,86
152,perc_class_time_rp,100
166,perc_class_time_rp,99
271,perc_class_time_rp,84
324,perc_class_time_rp,82
334,perc_class_time_rp,66
472,perc_class_time_rp,9
436,perc_class_time_rp,80
532,perc_class_time_rp,78
538,perc_class_time_rp,85
553,perc_class_time_rp,85
580,perc_class_time_rp,60
714,perc_class_time_rp,83
772,perc_class_time_rp,100
795,perc_class_time_rp,90
915,perc_class_time_rp,58
961,perc_class_time_rp,93
122,inst_priority_ap_01,1
122,inst_priority_rp_02,5
122,you_priority_ap_03,1
122,you_priority_rp_04,5
152,inst_priority_ap_01,1
152,inst_priority_rp_02,5
152,you_priority_ap_03,1
152,you_priority_rp_04,5
166,inst_priority_ap_01,1
166,inst_priority_rp_02,5
166,you_priority_ap_03,1
166,you_priority_rp_04,5
271,inst_priority_ap_01,1
271,inst_priority_rp_02,5
271,you_priority_ap_03,1
271,you_priority_rp_04,5
436,inst_priority_ap_01,1
436,inst_priority_rp_02,5
436,you_priority_ap_03,1
436,you_priority_rp_04,5
532,inst_priority_ap_01,1
532,inst_priority_rp_02,3
532,you_priority_ap_03,1
532,you_priority_rp_04,4
553,inst_priority_ap_01,1
553,inst_priority_rp_02,5
553,you_priority_ap_03,2
553,you_priority_rp_04,5
580,inst_priority_ap_01,1
580,inst_priority_rp_02,5
580,you_priority_ap_03,1
580,you_priority_rp_04,5
714,inst_priority_ap_01,1
714,inst_priority_rp_02,5
714,you_priority_ap_03,1
714,you_priority_rp_04,5
772,inst_priority_ap_01,1
772,inst_priority_rp_02,5
772,you_priority_ap_03,1
772,you_priority_rp_04,5
795,inst_priority_ap_01,3
795,inst_priority_rp_02,4
795,you_priority_ap_03,1
795,you_priority_rp_04,5
961,inst_priority_ap_01,1
961,inst_priority_rp_02,5
961,you_priority_ap_03,1
961,you_priority_rp_04,5
122,AP Activity 1 use_skill_ap,1
122,AP Activity 1 easy_teach_ap,1
122,AP Activity 1 easy_learn_ap,1
122,AP Activity 1 helps_foster_ap,6
122,AP Activity 1 reps_absolute_ap,4
122,AP Activity 2 use_skill_ap,NA
122,AP Activity 2 easy_teach_ap,NA
122,AP Activity 2 easy_learn_ap,NA
122,AP Activity 2 helps_foster_ap,NA
122,AP Activity 2 reps_absolute_ap,NA
122,AP Activity 3 use_skill_ap,NA
122,AP Activity 3 easy_teach_ap,NA
122,AP Activity 3 easy_learn_ap,NA
122,AP Activity 3 helps_foster_ap,NA
122,AP Activity 3 reps_absolute_ap,NA
122,AP Activity 4 use_skill_ap,NA
122,AP Activity 4 easy_teach_ap,NA
122,AP Activity 4 easy_learn_ap,NA
122,AP Activity 4 helps_foster_ap,NA
122,AP Activity 4 reps_absolute_ap,NA
122,AP Activity 5 use_skill_ap,NA
