run_id,t_id,response
1011,personal_rp_def,The only thing I might add is that relative pitch is a skill that can be acquired over time and with practice.
1079,personal_rp_def,the ability to identify scale degrees/solfege and produce/sing/play on instrument pitches in relation to a given key or tonality. 
1061,personal_rp_def,I would say that relative pitch involves the ability to determine a note (or set of notes) from a given reference tone or key.   The determination can be active (producing a pitch) or passive (recognizing or labeling a pitch) 
1071,personal_rp_def,n/a
1081,personal_rp_def,Not Applicable
1095,personal_rp_def,the ability to identify the functional tonic of a passage AND to identify the scale-degree functions of other pitches in relation to the tonic. 
1129,personal_rp_def,N/A
1207,personal_rp_def,N/A
1139,personal_rp_def,"NA"
1194,personal_rp_def,not applicable
1307,personal_rp_def,Not Applicable
1446,personal_rp_def,Not Applicable.
1501,personal_rp_def,Not Applicable.
15,personal_rp_def,dasfdas
1480,personal_rp_def,Relative pitch can be subdivided into fixed pitch and initial pitch.Neither needs any reference sound to name the pitch.
1521,personal_rp_def,Not Applicable
1588,personal_rp_def,Not Applicable
1665,personal_rp_def,No opinion.
1616,personal_rp_def,comparing pitch and faster transposition
1677,personal_rp_def,an ability can know or produce the interval or the scale level of certain tonality.
1675,personal_rp_def,Not Applicable
1707,personal_rp_def,Not Applicable
1678,personal_rp_def,Not Applicable.\n
1729,personal_rp_def,Not Applicable
1727,personal_rp_def,Not Applicable
1706,personal_rp_def,"Relative pitch is a self-constructed system, having relative pitch may have the ability to understand music in a deeper level. "
216,personal_rp_def,Not applicable
226,personal_rp_def,Not Applicable
285,personal_rp_def,Not Applicable
295,personal_rp_def,Not Applicable
303,personal_rp_def,na
288,personal_rp_def,N/A
291,personal_rp_def,Not Applicable
319,personal_rp_def,"I'd say that none of the individual definitions offered entirely captures the concept. Recognizing intervals, say, is probably something that someone with decent relative pitch (or perfect pitch + some minimal training) can do. But it doesn't seem right to say that recognizing intervals therefore _is_ relative/perfect pitch. And mutatis mutandis for the rest. I was also a little unclear on what you meant by a remembered reference tone. Do you mean, e.g., after hearing where A 440 is in the morning's first rehearsal, then retaining for the rest of the day (I used to be able to do that, when I was playing a lot more--though I can't anymore); I'd call that relative pitch. Do you mean knowing where A 440 is all the time (still a reference tone, just one that doesn't need to be refreshed). That sounds like perfect pitch to me."
32,personal_rp_def,Not Applicable
313,personal_rp_def,"NA"
366,personal_rp_def,Not Applicable
360,personal_rp_def,I had a hard time deciding that absolute and relative pitch were exact opposites.
371,personal_rp_def,Not Applicable
386,personal_rp_def,a learned ability to perceive relations among pitches
427,personal_rp_def,"the ability to recognize a frequently (at least 3 days, i.e. from Friday to Monday) performed pitch such as concert B-flat for concert bandos. "
395,personal_rp_def,"the ability to understand that two melodies (or any two bits of music) are equivalent - not the same - when they are transposed. Likewise, in tonal music, it is the ability to identify Roman numerals and scale degrees (solfege) within a tonal key, and to hear and produce (through singing) given intervals, scales, and melodies and harmonies within a key. Relative pitch enables singing melodies in a key even if the given starting pitch isn't what is written on the page. Relative pitch shows the equivalency relationship between two sets of music. "
44,personal_rp_def,"the ability to identify and/or label the intervallic relationship between pitches, but not their note names (unless given a reference pitch)"
401,personal_rp_def,something one can learn with practice
466,personal_rp_def,"Relative pitch is the ability to accurately recognize and produce specific pitches in relation to other relevant pitch structures (be they reference tones, tonalities, etc.)."
453,personal_rp_def,N/A
489,personal_rp_def,n/a
486,personal_rp_def,the application of theoretical constructs about pitch to practiced perceptions of pitch relationships.
511,personal_rp_def,Not Applicable
502,personal_rp_def,Not Applicable
545,personal_rp_def,the ability to determine the relationship of a test pitch to a reference pitch via sonic identification.
593,personal_rp_def,"perception of pitches through their relationships to one other, rather than in terms of an internalized sense of absolute pitch chroma."
598,personal_rp_def,"the ability to produce, identify, and label pitches accurately with reference to some previously known pitch. For some this involves a reference pitch (such as A440) upon which they can rely as needed, while for others this involves hearing a tone for which they have the label, and working with that to identify and produce other tones."
556,personal_rp_def,"NA"
617,personal_rp_def,"...well, absolute pitch encompasses everything relative pitch is and more."
621,personal_rp_def,N/A
670,personal_rp_def,"It is the ability to accurately hear, produce, and label musical sounds in relation to other previously identified musical sounds."
747,personal_rp_def,not applicable
824,personal_rp_def,Relative pitch is the ability to think of two or more tones at once and thus mentally compare their intervallic distance.
695,personal_rp_def,"NA"
769,personal_rp_def,N/A
887,personal_rp_def,"This is an essential question, I struggled with so many of these questions because of the need for definition of the descriptors.  For example, what does 'identify', 'correct', 'produce' mean in the context of absolute and relative.  Sorry, as I know many of these terms come from Richard Parncutt and Daniel J. Levitin work in this field but I still struggle. I think if we get clarity on these descriptors then we can move towards definitions.\n\nI've not been terribly helpful I know, so here is my go at a definition.\n\nRelative pitch is the musical ability to recognise a pitch or tone as belonging to a tonality and to understand and reproduce the distance between intervallic and harmonic steps without necessarily identifying the exact frequency and its associated note name.  For example, the musician with relative pitch can produce a major second interval without knowing what the first or second note is in reference to a particular key area of tonality. \n\n\n\n\n\n"
830,personal_rp_def,not applicable
900,personal_rp_def,Not Applicable\n
896,personal_rp_def,"NA"
974,personal_rp_def,hard to define because it means different things to different people. \n…a condition that includes the ability to find the starting note of the next track on a recording because of having heard the recording before.
989,personal_rp_def,Not Applicable
954,personal_rp_def,"ability to hear/sing (a) pitch(es)/short melodic segments in key - when tonality is established, they can hear function of the pitch in given key (if they are well trained with movable do solfege, they identify the pitch with solfege). Strong relative pitch allows listeners to hear quality and function of chords, but they do better in a context of tonality."
922,personal_rp_def,N/A
1011,personal_ap_def,Not Applicable
1061,personal_ap_def,"Absolute pitch includes the ability to determine a note (or group of notes) without a prior reference point.  The determination can be active (producing a pitch) or passive, that is...labeling or identifying (aurally) a pitch."
1071,personal_ap_def,n/a
1081,personal_ap_def,Absolute pitch is the ability to identify pitches within 12-tone equal temperament based on A=440 without an audible reference tone.  
112,personal_ap_def,Not applicable
1095,personal_ap_def,the ability to give letter names to pitches based on long-term memory. Working from memory of a single reference pitch is a weaker form of absolute pitch. Being able to produce a pitch on request given its letter name is a stronger form of absolute pitch. 
1129,personal_ap_def,N/A
1207,personal_ap_def,N/A
1139,personal_ap_def,"NA"
1194,personal_ap_def,not applicable
1307,personal_ap_def,Not Applicable
1446,personal_ap_def,Not Applicable
1501,personal_ap_def,Not Applicable.
15,personal_ap_def,asdfasdf
1480,personal_ap_def,Absolute pitch is the ability to name a pitch without external help.
1521,personal_ap_def,very good for player
1588,personal_ap_def,Not Applicable
1665,personal_ap_def,No opinion
1616,personal_ap_def,the ability to accurately identify pitch
1677,personal_ap_def,"an ability who can know or produce the pitch of one note , interval or chord."
1675,personal_ap_def,Not Applicable
1707,personal_ap_def,Not Applicable
1678,personal_ap_def,Not Applicable.
1729,personal_ap_def,Not Applicable
1727,personal_ap_def,Not Applicable
