"","run_id","condition","view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order","stimulus","slider_start","recorded_at","user_agent","device","browser","browser_version","platform","platform_version","source_code_version","fbclid"
"1","1011","1","[{""page_index"":0,""viewing_time"":6569.599999997765},{""page_index"":1,""viewing_time"":28619.20000000298},{""page_index"":2,""viewing_time"":2226.099999997765}]","37416.199999999255","instructions","0","37425","0.0-0.0","""","""","""","""","2021-12-02 13:59:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Macintosh","Chrome","96.0.4664.55","OS X","10_15_7","447d70a80c75dce987d9c5508038710f",""
"2","1011","1","[{""page_index"":0,""viewing_time"":1770.5999999977648}]","1770.800000000745","instructions","1","39203","0.0-1.0","""","""","""","""","2021-12-02 13:59:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Macintosh","Chrome","96.0.4664.55","OS X","10_15_7","447d70a80c75dce987d9c5508038710f",""
"3","1011","1","""","306835.5","survey-likert","2","346055","0.0-2.0","{""rp_remember_group_12"":1,""rp_name_abref_10"":0,""ap_ref_tonal_03"":0,""rp_perceive_same_07"":6,""rp_produce_abref_11"":0,""rp_ref_tonal_01"":6,""ap_produce_interval_19"":0,""ap_id_440_23"":0,""rp_name_relation_06"":6,""ap_ref_tonal_16"":6,""ap_name_relation_20"":0,""ap_to_rp_22"":0,""ap_produce_tonality_17"":0,""ap_remember_group_27"":0,""rp_to_ap_14"":0,""rp_produce_tonality_02"":6,""rp_id_interval_04"":0,""ap_ref_tonal_15"":0,""ap_produce_abref_26"":6,""ap_id_interval_18"":0,""ap_produce_440_24"":3,""rp_lose_13"":4,""ap_perceive_same_21"":0,""ap_name_abref_25"":6,""rp_produce_interval_05"":0,""rp_produce_440_09"":5,""ap_lose_28"":7,""rp_id_44_08"":6}","[11,9,2,6,10,0,18,22,5,15,19,21,16,26,13,1,3,14,25,17,23,12,20,24,4,8,27,7]","""","""","2021-12-02 13:59:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Macintosh","Chrome","96.0.4664.55","OS X","10_15_7","447d70a80c75dce987d9c5508038710f",""
"4","1011","1","""","50566.89999999851","survey-text","3","396649","0.0-3.0","{""Q0"":""The only thing I might add is that relative pitch is a skill that can be acquired over time and with practice.""}","""","""","""","2021-12-02 13:59:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Macintosh","Chrome","96.0.4664.55","OS X","10_15_7","447d70a80c75dce987d9c5508038710f",""
"5","1011","1","""","12021.800000000745","survey-text","4","408677","0.0-4.0","{""Q0"":""Not Applicable""}","""","""","""","2021-12-02 13:59:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Macintosh","Chrome","96.0.4664.55","OS X","10_15_7","447d70a80c75dce987d9c5508038710f",""
"6","1011","1","[{""page_index"":0,""viewing_time"":2330.800000000745}]","2331","instructions","5","411018","0.0-5.0","""","""","""","""","2021-12-02 13:59:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Macintosh","Chrome","96.0.4664.55","OS X","10_15_7","447d70a80c75dce987d9c5508038710f",""
"7","1011","1","""","153071.90000000224","survey-likert","6","564098","0.0-6.0","{""ap_people_all_8"":0,""ap_normal_13"":2,""rp_override_3"":6,""rp_impaired_2"":0,""ap_impaired_9"":5,""ap_better_others_14"":6,""ap_tonedeaf_12"":0,""ap_trained_ap_11"":2,""re_people_al_1"":1,""rp_tonedeaf_5"":4,""rp_normal_6"":4,""rp_trained_ap_4"":5,""ap_override_10"":6,""rp_better_others_7"":6}","[7,12,2,1,8,13,11,10,0,4,5,3,9,6]","""","""","2021-12-02 13:59:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Macintosh","Chrome","96.0.4664.55","OS X","10_15_7","447d70a80c75dce987d9c5508038710f",""
"8","1011","1","[{""page_index"":0,""viewing_time"":3602.60000000149}]","3602.800000000745","instructions","7","567704","0.0-7.0","""","""","""","""","2021-12-02 13:59:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Macintosh","Chrome","96.0.4664.55","OS X","10_15_7","447d70a80c75dce987d9c5508038710f",""
"9","1011","1","[{""page_index"":0,""viewing_time"":1884.6000000014901}]","1884.9000000022352","instructions","8","569590","0.0-8.0","""","""","""","""","2021-12-02 13:59:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Macintosh","Chrome","96.0.4664.55","OS X","10_15_7","447d70a80c75dce987d9c5508038710f",""
"10","1011","1","""","15402.400000002235","html-slider-response","9","584998","0.0-9.0","100","""","<p></p>","50","2021-12-02 13:59:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Macintosh","Chrome","96.0.4664.55","OS X","10_15_7","447d70a80c75dce987d9c5508038710f",""
